dataset,cifar10
model,resnet18
batch_size,64
epochs,200
learning_rate,0.1
data_augmentation,True
cutout,True
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.30404,0.4218
1,0.43814,0.5361
2,0.52656,0.5326
3,0.57916,0.446
4,0.61276,0.595
5,0.64146,0.6198
6,0.67068,0.6784
7,0.68988,0.6863
8,0.704,0.6915
9,0.71252,0.6952
10,0.71668,0.7226
11,0.72248,0.7249
12,0.729,0.5871
13,0.72964,0.7291
14,0.73284,0.6954
15,0.73558,0.7536
16,0.741,0.7216
17,0.74038,0.6958
18,0.74256,0.7091
19,0.74676,0.6262
20,0.7433,0.6419
21,0.74576,0.7454
22,0.74824,0.7458
23,0.74738,0.7777
24,0.7485,0.7796
25,0.7499,0.7562
26,0.75156,0.7538
27,0.7507,0.7461
28,0.7519,0.6918
29,0.75322,0.6728
30,0.75186,0.7774
31,0.75412,0.7573
32,0.75312,0.7794
33,0.75552,0.7739
34,0.7557,0.7541
35,0.75694,0.7835
36,0.75684,0.7474
37,0.75648,0.7482
38,0.75554,0.7442
39,0.75754,0.7172
40,0.758,0.762
41,0.75514,0.7217
42,0.75648,0.6462
43,0.75846,0.7561
44,0.75986,0.7359
45,0.75746,0.7212
46,0.756,0.7396
47,0.75958,0.768
48,0.7602,0.7754
49,0.76136,0.7135
50,0.75672,0.6405
51,0.7607,0.7835
52,0.75954,0.7607
53,0.76072,0.7598
54,0.7583,0.7997
55,0.7622,0.7429
56,0.76228,0.8029
57,0.76088,0.791
58,0.76478,0.7568
59,0.7618,0.8037
60,0.83298,0.8772
61,0.8491,0.8753
62,0.85054,0.8797
63,0.85494,0.8721
64,0.85472,0.8617
65,0.8553,0.8798
66,0.8528,0.8751
67,0.85424,0.8792
68,0.85648,0.8773
69,0.85468,0.8872
70,0.85488,0.8665
71,0.8539,0.8838
72,0.85396,0.8818
73,0.85656,0.8597
74,0.85908,0.8923
75,0.85526,0.8534
76,0.85658,0.8826
77,0.85834,0.8591
78,0.85786,0.8682
79,0.85992,0.8755
80,0.86078,0.8827
81,0.86018,0.8734
82,0.86078,0.8877
83,0.86006,0.8761
84,0.85974,0.8817
85,0.86064,0.8878
86,0.86194,0.8836
87,0.86378,0.8789
88,0.8636,0.8783
89,0.86304,0.8871
90,0.86244,0.8795
91,0.86336,0.8734
92,0.86064,0.8852
93,0.86706,0.8827
94,0.86404,0.8922
95,0.86366,0.8779
96,0.86434,0.8837
97,0.86388,0.8766
98,0.86578,0.873
99,0.86538,0.89
100,0.86496,0.8794
101,0.86708,0.8856
102,0.86562,0.8802
103,0.86658,0.8863
104,0.8669,0.8884
105,0.86482,0.8767
106,0.8662,0.8795
107,0.86654,0.8883
108,0.86908,0.8894
109,0.8653,0.8927
110,0.86654,0.8829
111,0.86834,0.8723
112,0.86568,0.889
113,0.86786,0.8837
114,0.86564,0.8781
115,0.86788,0.8849
116,0.86902,0.8824
117,0.86842,0.8871
118,0.86804,0.8865
119,0.86902,0.8809
120,0.9089,0.9279
121,0.91902,0.9314
122,0.9255,0.931
123,0.92538,0.9306
124,0.92786,0.9321
125,0.92968,0.9375
126,0.93182,0.9347
127,0.93052,0.9348
128,0.93138,0.9353
129,0.93408,0.931
130,0.93264,0.9316
131,0.93526,0.9334
132,0.93532,0.9339
133,0.93256,0.9339
134,0.9348,0.9314
135,0.93584,0.9309
136,0.93442,0.9327
137,0.93566,0.936
138,0.93796,0.9338
139,0.93604,0.9331
140,0.9356,0.9292
141,0.93472,0.9314
142,0.93514,0.935
143,0.93668,0.9327
144,0.93318,0.9295
145,0.93622,0.9322
146,0.9359,0.9356
147,0.93506,0.9333
148,0.93546,0.9294
149,0.93672,0.9279
150,0.93416,0.9286
151,0.93638,0.9324
152,0.93528,0.9315
153,0.9365,0.9268
154,0.93604,0.933
155,0.93486,0.9301
156,0.93576,0.931
157,0.93296,0.9284
158,0.93646,0.934
159,0.93524,0.9297
160,0.9512,0.9424
161,0.95626,0.9435
162,0.95896,0.9439
163,0.96182,0.9431
164,0.96194,0.9434
165,0.96364,0.9442
166,0.96448,0.9449
167,0.96378,0.9436
168,0.9646,0.9448
169,0.96534,0.944
170,0.96722,0.9463
171,0.96542,0.9445
172,0.96702,0.9457
173,0.96748,0.9456
174,0.96762,0.9468
175,0.96896,0.9454
176,0.96846,0.944
177,0.9688,0.9451
178,0.96698,0.9446
179,0.96856,0.945
180,0.96952,0.9463
181,0.9687,0.9469
182,0.96948,0.9463
183,0.96908,0.9452
184,0.9685,0.9443
185,0.97034,0.9468
186,0.97004,0.9456
187,0.97,0.947
188,0.96906,0.9451
189,0.9702,0.9459
190,0.97108,0.9474
191,0.97078,0.9489
192,0.97058,0.9447
193,0.97096,0.9473
194,0.97006,0.9452
195,0.97222,0.9458
196,0.97218,0.9466
197,0.97352,0.9465
198,0.97294,0.9455
199,0.97192,0.9476
